place_cat,place_name,place_address,place_lat,place_lon,place_detailsjson,place_src,place_srcassetid
food_venue,Airflow Coffee Co,"Shop 2, 243 Franklin Street MELBOURNE VIC 3000",-37.80967008,144.956662638,"{""census_year"":2024,""industry_code"":""4512"",""industry_description"":""Takeaway Food Services"",""seats"":{""Seats - Indoor"":6},""total_seats"":6}",City of Melbourne,com:food:554417:293074babe05261b
food_venue,Aix Cafe,24 Centre Place MELBOURNE VIC 3000,-37.8166033,144.965596537,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":13,""Seats - Outdoor"":8},""total_seats"":21}",City of Melbourne,com:food:101789:87938243287b92de
food_venue,Ajisen Ramen,"Shop 13, Ground 300 Lonsdale Street MELBOURNE VIC 3000",-37.81073331,144.963018917,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":79},""total_seats"":79}",City of Melbourne,com:food:105746:cee171fbc40dbd28
food_venue,Aki Sushi,Part Ground 105 Queen Street MELBOURNE VIC 3000,-37.81614776,144.960847599,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":70},""total_seats"":70}",City of Melbourne,com:food:108067:5d2420571bd84b23
food_venue,Al Dente Enoteca,Part 161-163 Nicholson Street CARLTON VIC 3053,-37.7963885,144.974806593,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":66,""Seats - Outdoor"":12},""total_seats"":78}",City of Melbourne,com:food:106944:09f6f87fc3ae21de
food_venue,Al Dente Sapori,Part 161-163 Nicholson Street CARLTON VIC 3053,-37.7963885,144.974806593,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Outdoor"":12,""Seats - Indoor"":66},""total_seats"":78}",City of Melbourne,com:food:106944:dce2fca8d9c89f8f
food_venue,Albert & Grey Cafe,Ground 166 Clarendon Street EAST MELBOURNE VIC 3002,-37.81104846,144.984140646,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":60},""total_seats"":60}",City of Melbourne,com:food:102005:dc08056beaed5aa0
food_venue,Albion Hotel,171-173 Curzon Street NORTH MELBOURNE VIC 3051,-37.79889904,144.948550483,"{""census_year"":2024,""industry_code"":""4520"",""industry_description"":""Pubs, Taverns and Bars"",""seats"":{""Seats - Indoor"":40,""Seats - Outdoor"":35},""total_seats"":75}",City of Melbourne,com:food:102352:ffb2f61928f86736
food_venue,Alex Canteen,157-159 Victoria Street MELBOURNE VIC 3000,-37.80765748,144.957205484,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":48},""total_seats"":48}",City of Melbourne,com:food:110671:05fe7badd456f933
food_venue,Alexandra Club,81 Collins Street MELBOURNE VIC 3000,-37.81439771,144.97117175,"{""census_year"":2024,""industry_code"":""4530"",""industry_description"":""Clubs (Hospitality)"",""seats"":{""Seats - Indoor"":160},""total_seats"":160}",City of Melbourne,com:food:102065:78615d2e2acf4760
food_venue,Alf's Cafe,"Shop 2-3, 55 Commercial Road MELBOURNE VIC 3004",-37.84633593,144.982663953,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":244,""Seats - Outdoor"":130},""total_seats"":374}",City of Melbourne,com:food:102178:af864e90dcb0ac8b
food_venue,Alf's Cafe,Part Ground 541 St Kilda Road MELBOURNE VIC 3004,-37.84607473,144.98005912,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":40},""total_seats"":40}",City of Melbourne,com:food:108647:7d68cf9f7637af6f
food_venue,Ali's Jumbo Kebab,"Shop 9, 200 Spencer Street MELBOURNE VIC 3000",-37.81625435,144.953298685,"{""census_year"":2024,""industry_code"":""4512"",""industry_description"":""Takeaway Food Services"",""seats"":{""Seats - Indoor"":12},""total_seats"":12}",City of Melbourne,com:food:566659:bd01c0778e7b26ce
food_venue,Ali's Jumbo Kebabs,Part 26 Elizabeth Street MELBOURNE VIC 3000,-37.81763649,144.96509495,"{""census_year"":2024,""industry_code"":""4512"",""industry_description"":""Takeaway Food Services"",""seats"":{""Seats - Indoor"":5},""total_seats"":5}",City of Melbourne,com:food:103328:8cfbb5a9bd4a9fd3
food_venue,Alibi Urban Gastropub,"Shop 1, Ground 471 Little Bourke Street MELBOURNE VIC 3000",-37.81456798,144.959044223,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Outdoor"":12,""Seats - Indoor"":80},""total_seats"":92}",City of Melbourne,com:food:105855:3f9162de9dfbf7a8
food_venue,Alien & Coco,"Shop 4, 111 Hardware Street MELBOURNE VIC 3000",-37.81240787,144.960530585,"{""census_year"":2024,""industry_code"":""4512"",""industry_description"":""Takeaway Food Services"",""seats"":{""Seats - Outdoor"":6,""Seats - Indoor"":2},""total_seats"":8}",City of Melbourne,com:food:105738:a64590ecfab1730d
food_venue,All 4 U Cafe & Bar,536 Little Lonsdale Street MELBOURNE VIC 3000,-37.81359291,144.953234168,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":40},""total_seats"":40}",City of Melbourne,com:food:106029:aba81c571203b74d
food_venue,All Smiles,55B Newquay Promenade DOCKLANDS VIC 3008,-37.8153411,144.941405106,"{""census_year"":2024,""industry_code"":""4513"",""industry_description"":""Catering Services"",""seats"":{""Seats - Indoor"":150,""Seats - Outdoor"":50},""total_seats"":200}",City of Melbourne,com:food:573925:cbaf41ffe3752451
food_venue,Allegro Restaurant,Part 205 Collins Street MELBOURNE VIC 3000,-37.81584777,144.967430346,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":75},""total_seats"":75}",City of Melbourne,com:food:109418:ecc89219581508f3
food_venue,Alley Cat,"Shop 6-7, 166 Albert Street EAST MELBOURNE VIC 3002",-37.81004656,144.985625385,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":50,""Seats - Outdoor"":20},""total_seats"":70}",City of Melbourne,com:food:593697:dbf26eb07dc0405d
